id,FIPS,x,y,POP10
81,42049.0,1277277.6705918983,441124.5067999844,1866.0
82,42049.0,1277277.6705918985,431124.5067999862,2093.0
83,42039.0,1277277.6705918992,421124.5067999838,590.0
84,42039.0,1277277.670591899,411124.50679998565,636.0
85,,1277277.670591899,401124.50679998606,582.0
86,,1277277.670591898,391124.5067999851,602.0
87,,1277277.6705918983,381124.5067999827,87.0
185,,1285937.924629743,456124.506799988,0.0
186,42049.0,1285937.9246297432,446124.50679998554,10191.0
187,42049.0,1285937.9246297423,436124.5067999888,3271.0
188,42049.0,1285937.9246297432,426124.506799985,5400.0
189,42039.0,1285937.9246297437,416124.5067999854,2531.0
190,42039.0,1285937.924629743,406124.5067999859,2514.0
191,42039.0,1285937.924629744,396124.5067999849,1384.0
192,42039.0,1285937.924629743,386124.50679998106,2817.0
193,42085.0,1285937.924629743,376124.5067999829,1856.0
194,42085.0,1285937.924629743,366124.5067999847,2415.0
195,42085.0,1285937.9246297437,356124.5067999852,32926.0
196,,1285937.9246297432,346124.5067999828,1315.0
197,,1285937.9246297432,336124.5067999832,560.0
198,,1285937.924629744,326124.5067999836,43.0
289,,1294598.178667588,481124.5067999869,0.0
290,,1294598.1786675877,471124.5067999845,0.0
291,,1294598.1786675882,461124.50679998635,0.0
292,42049.0,1294598.178667588,451124.5067999839,23133.0
293,42049.0,1294598.1786675875,441124.5067999858,2616.0
294,42049.0,1294598.1786675875,431124.5067999862,1610.0
295,42039.0,1294598.1786675877,421124.5067999852,1116.0
296,42039.0,1294598.1786675877,411124.50679998565,1724.0
297,42039.0,1294598.1786675882,401124.50679998467,5048.0
298,42039.0,1294598.1786675875,391124.5067999865,2083.0
299,42085.0,1294598.1786675877,381124.50679998554,10514.0
300,42085.0,1294598.1786675884,371124.50679998455,5821.0
301,42085.0,1294598.1786675877,361124.50679998496,7909.0
302,42085.0,1294598.178667588,351124.50679998397,7211.0
303,42073.0,1294598.1786675882,341124.506799983,3976.0
304,42073.0,1294598.178667588,331124.50679998344,4937.0
305,42073.0,1294598.178667588,321124.506799981,1770.0
306,42007.0,1294598.178667588,311124.50679998146,1676.0
307,,1294598.1786675882,301124.50679998327,1084.0
308,,1294598.1786675877,291124.5067999823,642.0
309,,1294598.178667588,281124.5067999813,142.0
396,,1303258.4327054324,466124.5067999847,6608.0
397,42049.0,1303258.4327054326,456124.5067999865,110912.0
398,42049.0,1303258.432705432,446124.506799987,6793.0
399,42049.0,1303258.4327054322,436124.506799986,8493.0
400,42039.0,1303258.432705432,426124.5067999864,2537.0
401,42039.0,1303258.432705432,416124.5067999854,3319.0
402,42039.0,1303258.4327054324,406124.50679998304,14062.0
403,42039.0,1303258.432705432,396124.5067999863,1863.0
404,42085.0,1303258.432705432,386124.5067999839,1811.0
405,42085.0,1303258.432705432,376124.5067999857,2012.0
406,42085.0,1303258.432705432,366124.5067999833,2599.0
407,42085.0,1303258.4327054322,356124.50679998234,3096.0
408,42073.0,1303258.4327054324,346124.5067999842,7095.0
409,42073.0,1303258.4327054326,336124.5067999832,37178.0
410,42073.0,1303258.4327054324,326124.5067999836,6621.0
411,42007.0,1303258.4327054329,316124.50679998123,4017.0
412,42007.0,1303258.432705433,306124.5067999831,9368.0
413,42007.0,1303258.4327054326,296124.5067999835,9694.0
414,42007.0,1303258.4327054326,286124.5067999811,4070.0
415,42007.0,1303258.4327054329,276124.5067999801,1713.0
416,42125.0,1303258.432705433,266124.50679998053,1727.0
417,42125.0,1303258.4327054326,256124.5067999824,1020.0
418,,1303258.4327054326,246124.5067999814,395.0
419,,1303258.4327054326,236124.50679998184,642.0
420,,1303258.432705433,226124.50679997943,26.0
502,,1311918.6867432762,471124.5067999859,2898.0
503,42049.0,1311918.686743276,461124.50679998915,44605.0
504,42049.0,1311918.6867432757,451124.50679998536,5710.0
505,42049.0,1311918.6867432764,441124.50679998717,4700.0
506,42049.0,1311918.686743276,431124.5067999862,2483.0
