FIPS,State,County,X,Y,POP_Total,Diabetes_count,Diabetes_per,Obesity,Access_Excercise,Physical_Inactivity,PCP_rate,Food_Env_Index,SVI,Urban_Rural
36063,New York,Niagara County,1387460.155,2371359.136,210239.2,19848,9.98,29.9,85.4,24.64,42.2,7.9,0.3434,Urban
36065,New York,Oneida County,1648770.996,2428756.763,229623.2,21984,10.6,30.88,81.8,23.24,74.4,7.9,0.5974,Urban
36067,New York,Onondaga County,1594290.542,2390104.004,462628.6,35825,8.92,30.02,93.4,21.1,95.4,8.0,0.557,Urban
36069,New York,Ontario County,1509820.646,2355302.693,109891.8,8413,7.98,29.18,82.2,19.9,79.4,8.6,0.2607,Urban
36071,New York,Orange County,1784395.906,2248556.365,382712.2,26110,8.58,28.18,85.8,25.3,70.6,8.5,0.6626,Urban
36073,New York,Orleans County,1427249.188,2384624.13,40654.2,4203,11.12,31.26,72.8,28.08,7.2,8.0,0.5901,Urban
36075,New York,Oswego County,1588690.728,2436988.083,117766.6,9387,9.04,35.66,66.6,23.5,40.8,8.0,0.5509,Urban
36077,New York,Otsego County,1695430.803,2369555.448,59626.8,4359,7.6,28.06,66.2,20.08,116.8,7.6,0.3835,Urban
36079,New York,Putnam County,1828676.407,2261806.233,98793.4,5792,6.2,22.78,84.8,18.0,49.8,9.1,0.12,Urban
36081,New York,Queens County,1841804.183,2182258.761,2290044.2,205643,10.54,23.98,96.6,27.76,64.4,8.5,0.7747,Urban
36083,New York,Rensselaer County,1814336.67,2406093.9,159211.2,11546,8.18,28.34,70.8,20.56,49.4,8.2,0.3418,Urban
36085,New York,Richmond County,1817579.991,2161994.379,476624.4,38840,9.42,28.18,99.6,25.12,95.8,8.9,0.5808,Urban
36087,New York,Rockland County,1813564.819,2226668.669,326671.4,19508,7.46,23.26,94.8,22.16,89.2,8.6,0.7164,Urban
36089,New York,St. Lawrence County,1647135.996,2571722.277,108526.6,9033,9.52,33.48,61.6,26.18,52.6,7.4,0.6919,Urban
36091,New York,Saratoga County,1776076.011,2442465.765,229449.2,15706,7.38,27.22,90.0,17.96,69.2,8.9,0.0496,Urban
36093,New York,Schenectady County,1768117.621,2407434.527,155225.0,11896,8.78,29.6,93.8,19.54,81.0,8.1,0.4825,Urban
36095,New York,Schoharie County,1743539.37,2375273.679,31193.0,2743,8.78,32.34,44.2,22.94,27.6,8.3,0.3908,Urban
36097,New York,Schuyler County,1553949.123,2311832.582,17900.6,1662,9.14,28.58,62.6,22.88,60.2,8.4,0.3425,Rural
36099,New York,Seneca County,1549405.809,2355026.711,34316.4,2961,9.32,32.94,71.8,26.44,24.2,8.3,0.485,Urban
36101,New York,Steuben County,1515917.072,2289805.219,95810.6,9333,10.32,32.46,54.0,23.52,57.6,8.0,0.4376,Urban
36103,New York,Suffolk County,1916558.965,2219152.491,1483500.6,100006,7.5,25.18,94.0,21.6,73.2,9.2,0.2645,Urban
36105,New York,Sullivan County,1739211.263,2274248.013,75403.6,6272,8.9,32.9,65.2,26.24,34.8,8.0,0.7864,Rural
36107,New York,Tioga County,1604638.584,2296816.053,48401.0,4271,9.02,29.8,69.0,22.44,30.6,8.6,0.1343,Urban
36109,New York,Tompkins County,1584749.021,2324857.448,103140.8,5028,6.42,22.72,83.0,15.0,83.6,7.9,0.4182,Urban
36111,New York,Ulster County,1775867.93,2302403.31,178506.0,12242,7.1,27.24,83.4,19.62,69.0,8.0,0.5643,Urban
36113,New York,Warren County,1765770.902,2492083.498,64212.8,4666,7.08,29.54,97.2,19.82,120.0,8.3,0.1439,Urban
36115,New York,Washington County,1804774.034,2472917.923,61285.4,5569,9.48,30.5,65.2,23.02,33.6,8.4,0.4529,Urban
36117,New York,Wayne County,1524638.913,2392871.668,90157.8,8042,9.46,32.66,64.2,27.56,27.0,8.5,0.3234,Urban
36119,New York,Westchester County,1835028.388,2232826.671,971141.2,58064,6.76,21.5,99.4,19.38,138.4,9.1,0.6817,Urban
36121,New York,Wyoming County,1439265.332,2324433.93,40138.6,3557,9.52,33.16,65.4,22.88,33.0,8.3,0.1442,Rural
36123,New York,Yates County,1530166.579,2334378.468,24882.4,2455,10.6,27.62,50.0,25.58,48.0,8.8,0.5783,Urban
42001,Pennsylvania,Adams County,1581875.064,2029400.655,102615.6,8207,8.28,28.7,57.2,19.82,53.0,8.7,0.2072,Urban
42003,Pennsylvania,Allegheny County,1340289.628,2052713.595,1218853.6,90493,8.12,28.14,92.6,19.5,111.6,7.8,0.2944,Urban
42005,Pennsylvania,Armstrong County,1376413.78,2098078.46,65257.6,6021,9.02,34.28,68.4,24.46,43.2,8.2,0.1735,Urban
42007,Pennsylvania,Beaver County,1305889.304,2071193.128,164963.0,13183,8.06,31.3,82.0,19.98,43.8,7.4,0.2447,Urban
42009,Pennsylvania,Bedford County,1473184.117,2023798.399,48137.2,3873,7.8,26.46,54.4,22.44,25.8,8.1,0.1435,Rural
42011,Pennsylvania,Berks County,1676333.766,2111342.483,418999.8,29518,8.06,31.98,84.2,20.16,63.2,8.5,0.6384,Urban
