x,y,Aspect,ELEV,FRG,K_Factor,MAP,MAT,NDVI,NLCD,Silt_Clay,Slope,TPI,NLCD,SOC
-595285,1803795,166.5941467,1491.555786,2,0.232500002,421.8854675,9.566770554,0.3904863,7,56.31874847,1.321538091,0.358217746,3,3.72618035262242
-1195285,2333795,184.1443634,2185.506592,4,0.082857139,634.9161377,3.583265305,0.71542871,4,59.02857208,20.64407539,3.087847471,4,17.7065766992854
-1105285,2073795,180.4230194,2237.833984,4,0.168260872,358.2181396,5.779565334,0.325459003,5,47.08695602,10.78506756,1.013549209,2,4.527255661052
-1095285,1373795,147.1079559,2219.515381,1,0.1505,326.9855042,8.600000381,0.260095119,5,49.95500183,1.303337216,-1.480092764,2,4.03499157185163
-1115285,1513795,167.358078,1752.388306,132,0.200000003,201.830307,11.06285,0.125147596,5,30.70000076,1.513385534,-0.75707823,2,1.48062956697709
-1065285,1193795,162.4239197,1748.253174,1,0.149494946,316.0733337,13.36798,0.217051238,5,59.4272728,10.29133892,4.984656334,2,4.39429134486165
-335285,1713795,158.5840149,695.9038696,2,0.319999993,566.3655396,12.48015594,0.410812408,7,86.41666412,1.130158544,-0.168498412,3,5.70205168970492
-1215285,1143795,167.6470947,1227.015503,5,0.387142867,311.4924316,15.83300018,0.164819315,5,50.24285889,1.590750933,-2.384362459,2,1.94581047448177
-1125285,1173795,180.2181854,2148.361816,1,0.1322449,551.0151367,11.33290863,0.476048917,4,50.57551193,10.88187122,-3.550915003,4,4.35695738394134
-1115285,1053795,131.7196045,1320.716797,2,0.335999995,275.8147888,16.07695007,0.159909934,5,56.77999878,1.268710971,-0.814818561,2,1.49085394346957
-725285,1243795,208.805603,1330.376465,2,0.1505,397.0804138,14.27054977,0.26276502,6,27.30599976,2.050487041,0.138182983,1,1.78452735837786
-825285,1183795,144.2155457,1403.161011,2,0.107142858,368.1107483,14.27045918,0.241375491,5,62.09285736,3.53359437,0.887821555,2,3.17436332311485
