FIPS,State,County,X,Y,POP_Total,Diabetes_count,Diabetes_per,Obesity,Access_Excercise,Physical_Inactivity,PCP_rate,Food_Env_Index,SVI,Urban_Rural
51690,Virginia,Martinsville City,1421799.935,1636136.484,12879.6,876,7.68,20.18,93.0,16.76,9.8,5.8,0.9208,Urban
51700,Virginia,Newport News City,1702968.965,1737731.396,179625.2,16561,12.4,35.66,96.0,24.0,54.8,7.4,0.8705,Urban
51710,Virginia,Norfolk City,1730261.754,1719321.773,243887.8,18380,10.82,33.16,93.8,22.4,99.4,7.0,0.8822,Urban
51720,Virginia,Norton City,1176211.402,1625932.365,3946.8,254,7.28,19.44,99.6,16.02,142.6,6.4,0.7123,Urban
51730,Virginia,Petersburg City,1625527.449,1733268.28,31398.2,3259,12.06,35.06,92.2,26.46,71.2,4.5,0.9752,Urban
51735,Virginia,Poquoson City,1716542.533,1743450.717,12157.6,810,7.16,22.18,77.4,15.86,78.8,9.0,0.0013,Urban
51740,Virginia,Portsmouth City,1723227.177,1712308.886,94789.6,9387,12.54,36.44,95.2,27.52,54.8,7.3,0.8084,Urban
51750,Virginia,Radford City,1353126.639,1674729.088,17996.8,882,7.98,22.94,96.4,17.4,59.2,6.4,0.4185,Urban
51760,Virginia,Richmond City,1611344.221,1767745.306,228329.4,18160,10.32,28.88,90.4,21.14,105.0,6.6,0.8549,Urban
51770,Virginia,Roanoke City,1402346.68,1700671.94,99523.6,8601,10.2,32.32,93.4,24.84,102.8,7.0,0.8335,Urban
51775,Virginia,Salem City,1393922.749,1700093.235,25539.0,1838,7.98,24.22,88.2,18.7,107.6,8.0,0.3985,Urban
51790,Virginia,Staunton City,1462544.758,1811357.668,24787.0,1730,7.44,21.56,99.8,16.96,45.2,8.2,0.584,Urban
51800,Virginia,Suffolk City,1701943.473,1690601.23,91343.2,8040,10.78,30.52,74.2,23.38,89.0,8.3,0.4297,Urban
51810,Virginia,Virginia Beach City,1752695.578,1705589.886,450886.2,33087,9.26,28.42,94.6,19.76,74.2,8.8,0.3211,Urban
51820,Virginia,Waynesboro City,1477903.628,1803796.554,22442.6,1515,7.84,21.76,71.2,18.82,93.6,7.6,0.6693,Urban
51830,Virginia,Williamsburg City,1683120.473,1752365.459,15070.8,861,7.66,19.96,100.0,16.38,9.4,7.6,0.4771,Urban
51840,Virginia,Winchester City,1517023.255,1936981.425,27866.8,1636,7.18,22.86,96.8,16.32,257.8,7.8,0.8635,Urban
54001,West Virginia,Barbour County,1363554.584,1904822.789,16549.6,1595,10.34,29.8,32.0,24.84,41.0,7.7,0.3819,Rural
54003,West Virginia,Berkeley County,1523121.264,1971372.329,117372.8,10541,10.84,36.04,53.0,26.38,43.4,7.8,0.366,Urban
54005,West Virginia,Boone County,1237814.756,1758586.578,21925.6,2870,13.78,39.14,17.2,28.36,33.4,7.4,0.4246,Urban
54007,West Virginia,Braxton County,1310840.99,1846926.185,14091.2,1300,9.06,30.12,28.6,22.94,44.0,6.9,0.4593,Rural
54009,West Virginia,Brooke County,1294492.84,2022929.839,22247.2,2516,10.92,29.82,71.6,24.28,22.6,7.7,0.2934,Urban
54011,West Virginia,Cabell County,1185759.528,1795938.607,93540.6,9161,11.14,34.16,87.4,24.5,168.6,7.4,0.7129,Urban
54013,West Virginia,Calhoun County,1274478.73,1857390.209,7190.2,607,7.88,27.0,1.5,20.26,41.6,6.2,0.3749,Rural
54015,West Virginia,Clay County,1284743.833,1815780.539,8620.8,759,9.06,27.96,12.0,22.64,11.6,6.3,0.6095,Urban
54017,West Virginia,Doddridge County,1301653.502,1910050.185,8439.0,724,8.5,25.92,31.4,19.32,16.6,8.4,0.2769,Urban
54019,West Virginia,Fayette County,1291852.933,1767655.85,43066.0,5740,13.9,34.9,55.6,29.66,45.4,7.1,0.6181,Urban
54021,West Virginia,Gilmer County,1295165.507,1869902.771,7982.8,640,9.18,26.18,22.4,18.1,37.2,6.8,0.4745,Rural
54023,West Virginia,Grant County,1432264.469,1913616.709,11621.2,1344,11.12,30.0,46.4,23.68,55.2,7.7,0.3609,Rural
54025,West Virginia,Greenbrier County,1347254.648,1767353.557,34866.6,3763,10.7,31.96,48.2,22.36,135.6,7.4,0.5274,Rural
54027,West Virginia,Hampshire County,1476981.123,1945927.229,23296.8,2079,8.62,33.54,35.2,22.78,25.8,6.8,0.3405,Urban
54029,West Virginia,Hancock County,1290225.113,2050386.631,29102.6,2923,9.78,34.22,85.4,22.68,57.4,7.0,0.3934,Urban
