Dallas Lead Case Study
3
X Location
Y Location
Pb
   722.0  5406.0   192.0
   808.0  6818.0    88.0
   824.0  4516.0   302.0
   864.0  7499.0   201.0
   877.0  6136.0   277.0
  1439.0  4561.0    92.0
  1520.0  6041.0   617.0
  1529.0  3966.0    79.0
  1533.0  6213.0   163.0
  1572.0  3181.0    71.0
  1691.0  7607.0    69.0
  1591.0  9355.0   153.0
  1595.0  6555.0   183.0
  1643.0  6295.0    27.0
  1669.0  6842.0    44.0
  1710.0  9350.0   164.0
  2117.0  6760.0    83.0
  2244.0  5393.0   166.0
  2253.0  8262.0   233.0
  2256.0  2967.0    73.0
  2256.0  4014.0   357.0
  2286.0  6152.0   104.0
  2338.0  8416.0   122.0
  2353.0  7554.0   140.0
  2366.0  4694.0   152.0
  2384.0  9990.0   161.0
  2388.0  6831.0    85.0
  2440.0  2294.0    53.0
  2512.0  9282.0   108.0
  2719.0  8984.0    84.0
  2773.0  9160.0    78.0
  2843.0  6963.0   187.0
  3001.0  2402.0    39.0
  3012.0  7740.0   131.0
  3017.0  5318.0    59.0
  3018.0  3890.0   205.0
  3037.0  9367.0   291.0
  3044.0  9232.0   276.0
  3068.0 10613.0    98.0
  3094.0  4435.0   167.0
  3118.0  6931.0   233.0
  3119.0  9905.0    52.0
  3126.0  3201.0    49.0
  3128.0  1736.0   102.0
  3146.0  5428.0   720.0
  3164.0  6167.0   260.0
  3442.0  7074.0   127.0
  3659.0 10698.0    35.0
  3695.0  9952.0   169.0
  3772.0  7725.0   248.0
  3774.0  3887.0   150.0
  3785.0  1548.0    25.0
  3790.0  8429.0   435.0
  3792.0  3088.0   150.0
  3794.0  6846.0   121.0
  3817.0 10649.0    41.0
  3826.0  4644.0   130.0
  3846.0  6404.0    80.0
  3912.0  2292.0   258.0
  3958.0  5619.0   254.0
  3963.0  4893.0    93.0
  4116.0  9280.0   129.0
  4414.0  9577.0   201.0
  4425.0  1952.0   101.0
  4467.0  8460.0   240.0
  4484.0  2332.0    24.0
  4488.0  6236.0   574.0
  4488.0  9099.0   230.0
  4496.0  3769.0    44.0
  4543.0  3179.0    61.0
  4552.0 10551.0   134.0
  4555.0  6843.0   352.0
  4569.0  7790.0  1680.0
  4574.0   862.0    83.0
  4615.0 11173.0   110.0
  4746.0  4572.0   106.0
  4809.0  5042.0   177.0
  4984.0 10606.0    76.0
  5086.0  4598.0   133.0
  5193.0 11390.0   159.0
  5266.0  2392.0    50.0
  5270.0  3878.0   106.0
  5277.0  6144.0   323.0
  5292.0  1636.0    25.0
  5297.0  3036.0    63.0
  5315.0  9419.0  4230.0
  5334.0  2337.0    39.0
  5355.0  7641.0  2130.0
  5374.0  9643.0   234.0
  5452.0  2087.0    51.0
  5534.0  9037.0   432.0
  5545.0  5294.0   211.0
  5672.0  7097.0   771.0
  5754.0 10869.0   307.0
  5816.0 10924.0    59.0
  5966.0 11385.0   625.0
  6002.0  5958.0  2460.0
  6058.0  5337.0   202.0
  4101.0  3695.0   147.0
  6117.0  3054.0   211.0
  6189.0  6970.0  3850.0
  6195.0  8331.0  1790.0
  6233.0  7667.0  3020.0
  6297.0  2231.0    77.0
  6300.0   767.0    59.0
  6372.0  1662.0    47.0
  6668.0 11483.0   486.0
  6676.0  3046.0    78.0
  6761.0  6481.0   357.0
  6798.0  8259.0   237.0
  6824.0  3892.0   393.0
  6820.0  6887.0   584.0
  6930.0  6144.0  2590.0
  6833.0  7725.0  1660.0
  8937.0  1696.0    58.0
  6856.0  3820.0   220.0
  6856.0   896.0    49.0
  6913.0  2439.0    39.0
  7008.0 10904.0   229.0
  7046.0  4869.0   459.0
  7252.0  7604.0  2320.0
  7373.0  9962.0    99.0
  7462.0  1089.0    35.0
  7517.0  2123.0    52.0
  7539.0  6455.0   522.0
  7548.0   945.0    54.0
  7553.0  3803.0   207.0
  7571.0  6934.0   159.0
  7572.0 10654.0   303.0
  7579.0  3229.0   226.0
  7591.0  4653.0   100.0
  7582.0  6230.0   792.0
  7674.0 11429.0   384.0
  7828.0  9982.0   185.0
  7927.0  1772.0    41.0
  9119.0  6126.0   575.0
  8148.0  9238.0    92.0
  8149.0  5289.0   595.0
  8166.0  1630.0   170.0
  8180.0  6910.0    62.0
  8193.0  4685.0   342.0
  8265.0  3073.0   238.0
  8268.0  4577.0   106.0
  8276.0  9913.0   121.0
  8307.0  2983.0   344.0
  8321.0 10668.0   674.0
  8326.0  3762.0    52.0
  8502.0  2545.0   306.0
  8875.0  6885.0   234.0
  8977.0  9292.0   105.0
  8990.0 10584.0   422.0
  9035.0  5299.0   222.0
  9041.0  3850.0    27.0
  9071.0  6091.0   872.0
  9117.0  3226.0   123.0
  9122.0  2392.0   274.0
  9131.0  4570.0    35.0
  9155.0  1487.0    80.0
  9203.0  9031.0   195.0
  9230.0  9206.0    71.0
  9610.0  4149.0    76.0
  9769.0  3212.0   232.0
  9822.0  4700.0   121.0
  9848.0  5081.0   413.0
  9905.0  9952.0   182.0
  9907.0  9115.0   396.0
  9950.0  6312.0    71.0
 10031.0  8421.0    80.0
 10127.0  7618.0    74.0
 10292.0  6833.0   117.0
 10388.0  4027.0   274.0
 10502.0  4638.0   238.0
 10533.0  8367.0   682.0
 10535.0  3184.0   200.0
 10543.0  9141.0   538.0
 10614.0  8555.0   113.0
 10734.0  6655.0    59.0
 10777.0  9253.0   269.0
 11220.0  6872.0   604.0
 11424.0  7567.0   310.0
